Date,Time,pH,NTU,Temperature(C)
20/04/2025,19:51:40,7.07,100,32.06
20/04/2025,19:51:42,7.07,100,32.06
20/04/2025,19:51:44,7.06,100,32.13
20/04/2025,19:51:45,7.06,100,32.13
20/04/2025,19:51:47,7.06,100,32.13
20/04/2025,19:51:49,7.06,100,32.13
20/04/2025,19:51:50,7.06,100,32.13
20/04/2025,19:51:52,7.05,100,32.19
20/04/2025,19:51:53,7.06,100,32.19
20/04/2025,19:51:55,7.05,100,32.19
20/04/2025,19:51:57,7.05,100,32.25
20/04/2025,19:51:58,7.06,100,32.19
20/04/2025,19:52:00,7.05,100,32.19
20/04/2025,19:52:01,7.05,100,32.19
20/04/2025,19:52:03,7.05,100,32.19
20/04/2025,19:52:05,7.04,100,32.19
20/04/2025,19:52:06,7.04,100,32.19
20/04/2025,19:52:08,7.04,100,32.19
20/04/2025,19:52:09,7.04,100,32.19
20/04/2025,19:52:11,7.04,100,32.19
20/04/2025,19:52:13,7.04,100,32.19
20/04/2025,19:52:14,7.04,100,32.19
20/04/2025,19:52:16,7.05,110,32.19
20/04/2025,19:52:18,7.04,110,32.19
20/04/2025,19:52:19,7.03,100,32.19
20/04/2025,19:52:21,7.04,100,32.19
20/04/2025,19:52:22,7.04,100,32.25
20/04/2025,19:52:24,7.03,100,32.19
20/04/2025,19:52:26,7.04,100,32.19
20/04/2025,19:52:27,7.04,100,32.19
20/04/2025,19:52:29,7.04,100,32.19
20/04/2025,19:52:30,7.03,100,32.19
20/04/2025,19:52:32,7.04,100,32.19
20/04/2025,19:52:34,7.03,100,32.19
20/04/2025,19:52:35,7.03,110,32.19
20/04/2025,19:52:37,7.04,100,32.19
20/04/2025,19:52:39,7.03,100,32.19
20/04/2025,19:52:40,7.03,100,32.19
20/04/2025,19:52:42,7.03,100,32.19
20/04/2025,19:52:43,7.03,100,32.19
20/04/2025,19:52:45,7.03,100,32.19
20/04/2025,19:52:47,7.03,100,32.19
20/04/2025,19:52:48,7.03,100,32.19
20/04/2025,19:52:50,7.03,110,32.19
20/04/2025,19:52:51,7.03,100,32.19
20/04/2025,19:52:53,7.03,100,32.19
20/04/2025,19:52:55,7.03,110,32.19
20/04/2025,19:52:56,7.03,100,32.19
20/04/2025,19:52:58,7.02,100,32.19
20/04/2025,19:52:59,7.03,100,32.19
20/04/2025,19:53:01,7.03,100,32.19
20/04/2025,19:53:03,7.03,100,32.19
20/04/2025,19:53:04,7.02,100,32.13
20/04/2025,19:53:06,7.03,110,32.13
20/04/2025,19:53:08,7.03,100,32.13
20/04/2025,19:53:09,7.03,100,32.19
20/04/2025,19:53:11,7.03,100,32.19
20/04/2025,19:53:12,7.03,100,32.13
20/04/2025,19:53:14,7.03,100,32.13
20/04/2025,19:53:16,7.02,100,32.19
20/04/2025,19:53:17,7.02,100,32.13
20/04/2025,19:53:19,7.02,100,32.13
20/04/2025,19:53:20,7.03,100,32.13
