Date,Time,pH,NTU,Temperature(C)
20/04/2025,19:46:43,6.78,110,31.25
20/04/2025,19:46:45,6.78,110,31.25
20/04/2025,19:46:47,6.78,110,31.19
20/04/2025,19:46:48,6.78,110,31.19
20/04/2025,19:46:50,6.78,110,31.19
20/04/2025,19:46:51,6.79,110,31.19
20/04/2025,19:46:53,6.79,110,31.19
20/04/2025,19:46:55,6.79,110,31.19
20/04/2025,19:46:56,6.79,110,31.19
20/04/2025,19:46:58,6.79,110,31.19
20/04/2025,19:46:59,6.8,110,31.19
20/04/2025,19:47:01,6.8,110,31.19
20/04/2025,19:47:03,6.8,110,31.19
20/04/2025,19:47:04,6.8,110,31.19
20/04/2025,19:47:06,6.8,110,31.19
20/04/2025,19:47:07,6.8,110,31.19
20/04/2025,19:47:09,6.8,110,31.19
20/04/2025,19:47:11,6.8,110,31.19
20/04/2025,19:47:12,6.81,110,31.19
20/04/2025,19:47:14,6.8,110,31.12
20/04/2025,19:47:16,6.8,110,31.19
20/04/2025,19:47:17,6.81,110,31.19
20/04/2025,19:47:19,6.81,110,31.19
20/04/2025,19:47:20,6.81,110,31.19
20/04/2025,19:47:22,6.81,110,31.19
20/04/2025,19:47:24,6.81,110,31.19
20/04/2025,19:47:25,6.81,110,31.19
20/04/2025,19:47:27,6.81,110,31.19
20/04/2025,19:47:28,6.81,110,31.19
20/04/2025,19:47:30,6.81,110,31.19
20/04/2025,19:47:32,6.82,110,31.19
20/04/2025,19:47:33,6.82,110,31.19
20/04/2025,19:47:35,6.82,110,31.19
20/04/2025,19:47:36,6.82,110,31.19
20/04/2025,19:47:38,6.82,110,31.19
20/04/2025,19:47:40,6.82,110,31.19
20/04/2025,19:47:41,6.82,110,31.12
20/04/2025,19:47:43,6.82,110,31.19
20/04/2025,19:47:45,6.82,110,31.19
20/04/2025,19:47:46,6.82,110,31.19
20/04/2025,19:47:48,6.82,110,31.19
20/04/2025,19:47:49,6.82,110,31.19
20/04/2025,19:47:51,6.82,110,31.12
20/04/2025,19:47:53,6.82,110,31.12
20/04/2025,19:47:54,6.82,110,31.12
20/04/2025,19:47:56,6.83,110,31.12
20/04/2025,19:47:57,6.82,110,31.19
20/04/2025,19:47:59,6.82,110,31.19
20/04/2025,19:48:01,6.82,110,31.19
20/04/2025,19:48:02,6.83,110,31.12
20/04/2025,19:48:04,6.82,110,31.19
20/04/2025,19:48:06,6.82,110,31.12
20/04/2025,19:48:07,6.82,110,31.12
20/04/2025,19:48:09,6.83,110,31.12
20/04/2025,19:48:10,6.83,110,31.12
20/04/2025,19:48:12,6.83,110,31.12
20/04/2025,19:48:14,6.82,110,31.12
20/04/2025,19:48:15,6.83,110,31.12
20/04/2025,19:48:17,6.83,110,31.19
20/04/2025,19:48:18,6.83,110,31.19
20/04/2025,19:48:20,6.83,110,31.12
20/04/2025,19:48:22,6.83,110,31.19
20/04/2025,19:48:23,6.83,110,31.19
20/04/2025,19:48:25,6.83,110,31.19
20/04/2025,19:48:26,6.83,110,31.12
20/04/2025,19:48:28,6.83,110,31.19
20/04/2025,19:48:30,6.83,110,31.12
20/04/2025,19:48:31,6.83,110,31.12
20/04/2025,19:48:33,6.84,110,31.12
20/04/2025,19:48:35,6.84,110,31.12
20/04/2025,19:48:36,6.84,110,31.19
20/04/2025,19:48:38,6.83,110,31.12
20/04/2025,19:48:39,6.84,110,31.12
20/04/2025,19:48:41,6.83,110,31.12
20/04/2025,19:48:43,6.83,110,31.12
20/04/2025,19:48:44,6.84,110,31.19
20/04/2025,19:48:46,6.83,110,31.19
20/04/2025,19:48:47,6.84,110,31.12
20/04/2025,19:48:49,6.84,110,31.12
20/04/2025,19:48:51,6.84,110,31.12
20/04/2025,19:48:52,6.83,110,31.12
20/04/2025,19:48:54,6.84,110,31.12
20/04/2025,19:48:55,6.84,110,31.12
20/04/2025,19:48:57,6.84,110,31.12
20/04/2025,19:48:59,6.83,110,31.12
20/04/2025,19:49:00,6.84,110,31.12
20/04/2025,19:49:02,6.84,110,31.06
20/04/2025,19:49:04,6.84,110,31.12
20/04/2025,19:49:05,6.84,110,31.12
20/04/2025,19:49:07,6.83,110,31.12
20/04/2025,19:49:08,6.84,110,31.12
20/04/2025,19:49:10,6.83,110,31.06
20/04/2025,19:49:12,6.84,110,31.12
20/04/2025,19:49:13,6.84,110,31.12
20/04/2025,19:49:15,6.84,110,31.12
20/04/2025,19:49:16,6.84,110,31.12
20/04/2025,19:49:18,6.84,110,31.12
20/04/2025,19:49:20,6.84,110,31.12
20/04/2025,19:49:21,6.84,110,31.12
20/04/2025,19:49:23,6.85,110,31.12
20/04/2025,19:49:25,6.85,110,31.12
20/04/2025,19:49:26,6.84,110,31.12
20/04/2025,19:49:28,6.84,110,31.12
20/04/2025,19:49:29,6.85,110,31.12
20/04/2025,19:49:31,6.84,110,31.12
20/04/2025,19:49:33,6.84,110,31.12
20/04/2025,19:49:34,6.85,110,31.12
20/04/2025,19:49:36,6.84,110,31.12
20/04/2025,19:49:37,6.85,110,31.12
20/04/2025,19:49:39,6.84,110,31.12
20/04/2025,19:49:41,6.85,110,31.12
